Sample in Buffer,Sample in Window,TRIGGER,app_cmd[2:0],app_wdf_data[255:0],app_addr[28:0],app_rd_data[255:0],app_rd_data_reg[255:0],app_en,app_rd_data_end,app_rd_data_valid,app_rdy,app_wdf_end,app_wdf_rdy,app_wdf_wren,ui_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
946,946,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
947,947,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
948,948,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
949,949,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
950,950,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
951,951,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
952,952,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
953,953,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
954,954,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
955,955,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
956,956,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
957,957,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
958,958,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
959,959,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
960,960,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
961,961,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
962,962,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
963,963,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
964,964,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
965,965,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
966,966,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
967,967,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
968,968,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
969,969,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
970,970,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,0,0,1,0,1
971,971,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,0,0,1,0,1
972,972,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
973,973,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
974,974,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
975,975,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
976,976,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
977,977,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
978,978,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
979,979,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
980,980,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
981,981,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
982,982,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
983,983,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
984,984,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
985,985,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
986,986,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
987,987,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
988,988,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
989,989,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
990,990,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
991,991,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
992,992,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
993,993,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
994,994,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
995,995,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
996,996,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
997,997,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
998,998,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
999,999,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1000,1000,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1001,1001,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1002,1002,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1003,1003,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1004,1004,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1005,1005,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1006,1006,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1007,1007,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1008,1008,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1009,1009,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1010,1010,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1011,1011,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1012,1012,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1013,1013,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1014,1014,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1015,1015,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1016,1016,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1017,1017,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1018,1018,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1019,1019,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1020,1020,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1021,1021,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1022,1022,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1023,1023,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1024,1024,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1025,1025,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1026,1026,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1027,1027,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1028,1028,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1029,1029,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1030,1030,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1031,1031,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1032,1032,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1033,1033,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1034,1034,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1035,1035,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1036,1036,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
1037,1037,0,1,0000000000000000000000000000000000000000000000000000000000000000,00000000,63e5d3fad665e59f4787ccf4bb0bc8ab33ffbfd55b479e6d5b94f7874c75edf7,f33f4707ebbb68c2d3fc43e7e7fde57f936cad97df7bfcdbfb265d6d7d78376a,0,1,0,1,0,1,0,1
