Sample in Buffer,Sample in Window,TRIGGER,app_cmd[2:0],app_wdf_data[255:0],app_addr[28:0],app_rd_data[255:0],app_rd_data_reg[255:0],app_en,app_rd_data_end,app_rd_data_valid,app_rdy,app_wdf_end,app_wdf_rdy,app_wdf_wren,ui_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
28,28,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001400,0080008000800080008000800080008000800080008000800080008000800080,007f007f007f007f007f007f007f007f007f007f007f007f007f007f007f007f,1,1,1,1,0,1,0,1
29,29,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001420,0081008100810081008100810081008100810081008100810081008100810081,0080008000800080008000800080008000800080008000800080008000800080,1,1,1,1,0,1,0,1
30,30,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001440,0082008200820082008200820082008200820082008200820082008200820082,0081008100810081008100810081008100810081008100810081008100810081,1,1,1,1,0,1,0,1
31,31,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001460,0083008300830083008300830083008300830083008300830083008300830083,0082008200820082008200820082008200820082008200820082008200820082,1,1,1,1,0,1,0,1
32,32,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001480,0084008400840084008400840084008400840084008400840084008400840084,0083008300830083008300830083008300830083008300830083008300830083,1,1,1,1,0,1,0,1
33,33,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014a0,0085008500850085008500850085008500850085008500850085008500850085,0084008400840084008400840084008400840084008400840084008400840084,1,1,1,0,0,1,0,1
34,34,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014a0,0086008600860086008600860086008600860086008600860086008600860086,0085008500850085008500850085008500850085008500850085008500850085,0,1,1,0,0,1,0,1
35,35,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014a0,0087008700870087008700870087008700870087008700870087008700870087,0086008600860086008600860086008600860086008600860086008600860086,0,1,1,0,0,1,0,1
36,36,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014a0,0088008800880088008800880088008800880088008800880088008800880088,0087008700870087008700870087008700870087008700870087008700870087,0,1,1,1,0,1,0,1
37,37,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014c0,0089008900890089008900890089008900890089008900890089008900890089,0088008800880088008800880088008800880088008800880088008800880088,1,1,1,0,0,1,0,1
